id,name,cpu,ram,gpu,battery,volume,weight,display,maker,sw_os,price,image,content
191,삼성전자 갤럭시북 이온2 NT950XDZ-G58AW,인텔_코어i5-11세대_i5-1135G7 (2.4GHz),8,mx450,69.7,256,1.26,15.6,삼성전자,미포함(프리도스),1778000,삼성전자imgs190.jpg,삼성전자imgsdt190.jpg
192,삼성전자 노트북 플러스2 NT550XDZ-AD1AW,인텔_셀러론_6305 (1.8GHz),4,내장그래픽,43,256,1.81,15.6,삼성전자,미포함(프리도스),444280,삼성전자imgs191.jpg,삼성전자imgsdt191.jpg
193,삼성전자 노트북 플러스2 NT560XDA-XC58,인텔_코어i5-11세대_i5-1135G7 (2.4GHz),8,GTX1650 TiMAX-Q,43,256,1.85,15.6,삼성전자,윈도우10,1430390,삼성전자imgs192.jpg,삼성전자imgsdt192.jpg
194,삼성전자 갤럭시북 이온2 NT930XDZ-A38AW,인텔_코어i3-11세대_i3-1115G4 (3.0GHz),8,내장그래픽,69.7,256,970,13.3,삼성전자,미포함(프리도스),1198000,삼성전자imgs193.jpg,삼성전자imgsdt193.jpg
195,삼성전자 갤럭시북 플렉스2 NT930QDZ-A58AZ,인텔_코어i5-11세대_i5-1130G7 (1.8GHz),8,내장그래픽,69.7,256,1.16,13.3,삼성전자,미포함(프리도스),1748000,삼성전자imgs194.jpg,삼성전자imgsdt194.jpg
196,삼성전자 노트북 플러스 NT550XCR-AD3A,인텔_코어i3-10세대_i3-10110U (2.1GHz),4,내장그래픽,43,256,1.81,15.6,삼성전자,미포함(프리도스),661820,삼성전자imgs195.jpg,삼성전자imgsdt195.jpg
197,삼성전자 노트북 플러스2 NT560XDZ-G78A WIN10 16GB램,인텔_코어i7-11세대_i7-1165G7 (2.8GHz),16,GTX1650 TiMAX-Q,43,500,1.85,15.6,삼성전자,윈도우10,1640000,삼성전자imgs196.jpg,삼성전자imgsdt196.jpg
198,삼성전자 갤럭시북 플렉스2 NT950QDA-XC71Z,인텔_코어i7-11세대_i7-1165G7 (2.8GHz),16,mx450,69.7,512,1.57,15.6,삼성전자,윈도우10,2449440,삼성전자imgs197.jpg,삼성전자imgsdt197.jpg
199,삼성전자 노트북 플러스2 NT550XDA-K78AW 16GB램,인텔_코어i7-11세대_i7-1165G7 (2.8GHz),16,내장그래픽,43,256,1.81,15.6,삼성전자,윈도우10,1379000,삼성전자imgs198.jpg,삼성전자imgsdt198.jpg
200,삼성전자 갤럭시북 이온2 NT950XDA-XC58W,인텔_코어i5-11세대_i5-1135G7 (2.4GHz),8,mx450,69.7,256,1.26,15.6,삼성전자,윈도우10,1804790,삼성전자imgs199.jpg,삼성전자imgsdt199.jpg
201,삼성전자 갤럭시북 플렉스2 NT950QDZ-G58AZ,인텔_코어i5-11세대_i5-1135G7 (2.4GHz),8,mx450,69.7,256,1.57,15.6,삼성전자,미포함(프리도스),2049000,삼성전자imgs200.jpg,삼성전자imgsdt200.jpg
202,삼성전자 갤럭시북 플렉스 알파 NT750QCJ-KF58,인텔_코어i5-10세대_i5-10210U (1.6GHz),8,내장그래픽,54,256,1.63,15.6,삼성전자,윈도우10,1577960,삼성전자imgs201.jpg,삼성전자imgsdt201.jpg
203,삼성전자 갤럭시북 플렉스 알파 NT750QCR-A78A,인텔_코어i7-10세대_i7-10510U (1.8GHz),8,내장그래픽,54,256,1.63,15.6,삼성전자,미포함(프리도스),1699190,삼성전자imgs202.jpg,삼성전자imgsdt202.jpg
204,삼성전자 갤럭시북 플렉스2 5G NT930QCA-KC71S,인텔_코어i7-11세대_i7-1165G7 (2.8GHz),16,내장그래픽,69.7,512,1.26,13.3,삼성전자,윈도우10,2679000,삼성전자imgs203.jpg,삼성전자imgsdt203.jpg
205,삼성전자 2019 노트북9 Always NT930XBE-K717A,인텔_코어i7-8세대_i7-8565U (1.8GHz),16,내장그래픽,75,256,995,13.3,삼성전자,윈도우10,1804040,삼성전자imgs204.jpg,삼성전자imgsdt204.jpg
206,삼성전자 갤럭시북 플렉스 알파 NT750QCJ-K78A,인텔_코어i7-10세대_i7-10510U (1.8GHz),8,내장그래픽,54,256,1.63,15.6,삼성전자,윈도우10,1833590,삼성전자imgs205.jpg,삼성전자imgsdt205.jpg
